number,description,citation,editor,type,location,date,text,notes,bibliography
219,fragment of bowl (ceramic),"Opuscula Romana 24 (1999) 65, 8 (Fig. 3)",Giovanni Colonna &amp; Yvonne Backe Forsberg,Proprietary Texts,Ager Tarquiniensis (San Giovenale),archaic,mi vi[ – – – ],The topmost portions of four letters are visible. The editor proposes to read mi vi[pies – – – ].,"Colonna, Giovanni &amp; Yvonne Backe Forsberg. 1999. Le iscrizione del ‘sacello’ del ponte di San Giovenale. Opuscula Romana 24.63-78."
220,fragment of kyathos (ceramic),"Opuscula Romana 24 (1999) 65, 11 (Fig. 3)",Giovanni Colonna &amp; Yvonne Backe Forsberg,Proprietary Texts,Ager Tarquiniensis (San Giovenale),archaic,lai	[ – – – ],The text is perhaps to be restored as the personal name lai[ve] or the family name lai[venas].,"Colonna, Giovanni &amp; Yvonne Backe Forsberg. 1999. Le iscrizione del ‘sacello’ del ponte di San Giovenale. Opuscula Romana 24.63-78."
221,bowl (ceramic),"Opuscula Romana 24 (1999) 66, 15 (Fig. 5)",Giovanni Colonna &amp; Yvonne Backe Forsberg,Proprietary Texts,Ager Tarquiniensis (San Giovenale),550-500,mi fasθiia alσiia,,"Colonna, Giovanni &amp; Yvonne Backe Forsberg. 1999. Le iscrizione del ‘sacello’ del ponte di San Giovenale. Opuscula Romana 24.63-78."
222,fragment of kantharos (ceramic),"Opuscula Romana 24 (1999) 66, 16 (Fig. 5)",Giovanni Colonna &amp; Yvonne Backe Forsberg,Other/Unclear Texts,Ager Tarquiniensis (San Giovenale),600-550,[ – – – ]xesiiala,The upper oblique stroke of the first letter is visible. v or p are possible.,"Colonna, Giovanni &amp; Yvonne Backe Forsberg. 1999. Le iscrizione del ‘sacello’ del ponte di San Giovenale. Opuscula Romana 24.63-78."
223,fragment of kantharos (ceramic),"Opuscula Romana 24 (1999) 66, 17 (Fig. 5)",Giovanni Colonna &amp; Yvonne Backe Forsberg,Other/Unclear Texts,Ager Tarquiniensis (San Giovenale),550-500,mul,"The text was inscribed vertically, from high to low.","Colonna, Giovanni &amp; Yvonne Backe Forsberg. 1999. Le iscrizione del ‘sacello’ del ponte di San Giovenale. Opuscula Romana 24.63-78."
224,fragment of kantharos (ceramic),"Opuscula Romana 24 (1999) 66, 37 (Fig. 5)",Giovanni Colonna &amp; Yvonne Backe Forsberg,Proprietary Texts,Ager Tarquiniensis (San Giovenale),500,mi l[ . . . . . ]aruniθla,"In the lacuna, there is space for four or five letters. Colonna proposes to restore the text as: mi l[ursl l]aruniθla.","Colonna, Giovanni &amp; Yvonne Backe Forsberg. 1999. Le iscrizione del ‘sacello’ del ponte di San Giovenale. Opuscula Romana 24.63-78."
225,fragment of cup (ceramic),SE 64 (2001) REE 2 (tav. XXXVIII),Stefano Bruni,Other/Unclear Texts,Pisa,400-300,ven,,
226,cinerary urn (travertine),SE 64 (2001) REE 4,Giulio Paolucci,Funerary Texts,Clusium,recent,lθ  · carta · rusinal,,
227,cinerary urn (travertine),SE 64 (2001) REE 5,Giulio Paolucci,Funerary Texts,Clusium,recent,lθ  · carta · lθ	caunal,,
228,cinerary urn (travertine),SE 64 (2001) REE 7,Giulio Paolucci,Funerary Texts,Clusium,recent,θana . velθuria : uvial,,
229,cinerary urn (travertine),SE 64 (2001) REE 8 (tav. XXXVIII),Giulio Paolucci,Funerary Texts,Clusium,200-100,lθ : purni : lθ : petrual :,,
230,cinerary urn (travertine),SE 64 (2001) REE 9 (tav. XXXVIII),Giulio Paolucci,Funerary Texts,Clusium,recent,θa : titi : parfilunia	melutaσa,,
231,cinerary urn (travertine),SE 64 (2001) REE 10 (tav. XXXVIII),Giulio Paolucci,Funerary Texts,Clusium,recent,cae : seiante : au : tutnal,,
232,cover of cinerary urn (travertine),SE 64 (2001) REE 11 (tav. XXXVIII),Giulio Paolucci,Funerary Texts,Clusium,200,larθ : laucane,,
233,cinerary urn (ceramic),SE 64 (2001) REE 13 (tav. XXXIX),Giulio Paolucci,Funerary Texts,Clusium,recent,lθ : v [vacat] etis : herinial [:],,
234,cover of cinerary urn (travertine),SE 64 (2001) REE 15 (tav. XXXIX),Giulio Paolucci,Funerary Texts,Ager Clusinus (Camporsevoli),recent,vl · σ[eθ]ṛna · ce [vacat] lias,The sibilants /s/ and /š/ were spelled as sigma.,
235,cover of cinerary urn (travertine),SE 64 (2001) REE 16 (XXXIX),Giulio Paolucci,Funerary Texts,Ager Clusinus (Camporsevoli),recent,θana : cracia : seθrnaσa,The sibilants /s/ and /š/ were written as sigma.,
236,cover of cinerary urn (travertine),SE 64 (2001) REE 17 (tav. XL),Giulio Paolucci,Funerary Texts,Ager Clusinus (Camporsevoli),recent,aθ : seθrna : cracias,,
237,cover of cinerary urn (travertine),SE 64 (2001) REE 18 (tav. XL),Giulio Paolucci,Funerary Texts,Ager Clusinus (Camporsevoli),recent,aθ : σeθrna : clanti,,
238,bronze statue,SE 56 (1991)  REE 69 (tav. LVIII),Mauro Cristofani,Dedications,Volcii,300-250,ecn turce : pivi	patrus : unial	huinθnaias,The inscription was incised from bottom (line 1) to top (line 3).,
239,small bronze altar or base,SE 56 (1991)  REE 82 (tav. LVIII),Enrico Benelli,Dedications,Volcii,300,truφun · peθunus · v · lav	lurmicla · turce · XXX · cver,The inscription was incised on the four faces of the base.,
240,slab (sandstone),SE 64 (2001) REE 19 (tav. XL),Silvia Vilucchi,Funerary Texts,Ager Saenensis (Pienza),100-0,vel · ber	comsn	a · velosa {i},The inscription was written in dextroverse direction in Latin letterforms. vel is twice written as a ligature. The o of velosa is very small. It appears to have been erroneously omitted and later inserted between l and s.,
241,fragment of amphora (ceramic),SE 64 (2001) REE 22 (tav. XLI),Antonella Romualdi,Other/Unclear Texts,Populonia,400-300,teace,,
242,bowl (ceramic),SE 64 (2001) REE 23 (tav. XL),Adriano Maggiani,Proprietary Texts,Isola d’Elba (Ilva),200-100,[l]arθ petrus,,
243,cippus (nenfro),SE 64 (2001) REE 26 (tav. XLI),Massimo Morandi,Funerary Texts,Tarquinia,300-280,numsi :	larθi,,
244,cippus (nenfro),SE 64 (2001) REE 27 (tav. XLI),Massimo Morandi,Funerary Texts,Tarquinia,260-240,velfras ·	laris ·	ne,"Line 3: ne is an abbreviation for the metronymic. The editor suggests ne(vtnial), ne(mtinal), or ne(vrnial).",
245,oinochoe (silver),SE 64 (2001) REE 30 (tav. XLII),Franceso Buranelli - Maurizio Sannibale,Proprietary Texts,Caere,675-650,[larθ]ia,The inscription could also be restored with the first personal pronoun: mi [larθ]ia.,
246,fragment of kantharos (bucchero),SE 64 (2001) REE 32 (tav. XLIII),Daniele Maras,Proprietary Texts,Caere,600-550,aanθ trutana,Inscription (b): The first word is to be corrected to a(r)anθ.,
247,Attic kylix (ceramic),SE 64 (2001) REE 36 (tav. XLIV),Daniele Maras,Religious Texts,Pyrgi,500-450,mi : σuris : cavaθas,The palatal sibilant /š/ is represented by a 4-bar sigma.,
248,cup (ceramic),SE 64 (2001) REE 38 (tav. XLIV),Daniele Maras,Religious Texts,Pyrgi,500-480,: lu{v}cies,Punctuation is in the form of three points. e is corrected to v.,
249,kylix (ceramic),SE 64 (2001) REE 39 (tav. XLIV),Daniele Maras,Religious Texts,Pyrgi,500-475,larzas maias,The editor suggests that this inscription could be segmented as larz asmaias. There are no comparanda for a family name of this form.,
250,kylix (ceramic),SE 64 (2001) REE 40 (tav. XLIV),Daniele Maras,Religious Texts,Pyrgi,500-475,ause	xxe,"Giovanni Colonna, in an addedum to SE (2001) REE 40, proposes to read alsel(i)e or possibly  ausel(i)e, the later recalling the Roman family name Aurelius.",
251,fragment of skyphos (ceramic),SE 64 (2001) REE 43 (tav. XLV),Daniele Maras,Religious Texts,Pyrgi,500-450,mi menervas,,
252,fragment of Attic kylix (ceramic),SE 64 (2001) REE 50 (tav. XLV),Daniele Maras,Religious Texts,Pyrgi,500-450,cne[i]ve mini[ – – – ],,
253,Attic krater (ceramic),SE 64 (2001) REE 37 (tav. XLIV),Daniele Maras,Religious Texts,Pyrgi,480-470,mi fuflunusra,,
254,Attic kylix (ceramic),SE 64 (2001) REE 41 (tav. XLV),Daniele Maras,Dedications,Pyrgi,500-450,itan tu[r]uke e[ – – – ],,
255,fragment of Attic kylix (ceramic),SE 64 (2001) REE 44 (tav. XLV),Daniele Maras,Religious Texts,Pyrgi,500-450,aθi[ – – – ],,
256,fragment of Attic plate (ceramic),SE 64 (2001) REE 52 (tav. XLVI),Daniele Maras,Religious Texts,Pyrgi,500-400,[ – – – ]cavaθ[ – – – ],,
257,fragment of Attic skyphos (ceramic),SE 64 (2001) REE 53 (tav. XLVI),Daniele Maras,Religious Texts,Pyrgi,500-400,[ mi ca]vaθas,,
258,fragment of Attic skyphos (ceramic),SE 64 (2001) REE 55 (tav. XLVI),Daniele Maras,Religious Texts,Pyrgi,500-400,cavaθ[as : ]eca,,
259,fragment of Attic cup (ceramic),SE 64 (2001) REE 56 (tav. XLVI),Daniele Maras,Religious Texts,Pyrgi,500-400,[ – – – cav]aθas [ – – – ],,
260,fragmentary Attic glaux (ceramic),SE 64 (2001) REE 57 (tav. XLVI),Daniele Maras,Religious Texts,Pyrgi,450,m[i] θane tuvθi,,
261,fragment of Attic skyphos (ceramic),SE 64 (2001) REE 58 (tav. XLVI),Daniele Maras,Religious Texts,Pyrgi,450-400,mi · cavθas,,
262,fragment of basin (impasto),SE 64 (2001) REE 59 (tav. XLVII),Daniele Maras,Religious Texts,Pyrgi,450-400,[m]i ca[vθas],,
263,fragment of cup (ceramic),SE 64 (2001) REE 62 (tav. XLVII),Daniele Maras,Religious Texts,Pyrgi,300,ve[ . ]is,The editor suggests that the inscription be restored as vei[v]is.,
264,nameplate (bronze),SE 64 (2001) REE 63 (tav. XLVIII),Daniele Maras,Religious Texts,Pyrgi,300,lapse,The nameplate was affixed to the base of an offering of some type. See also inscription ETP 265.,
265,nameplate (bronze),SE 64 (2001) REE 64 (tav. XLVIII),Daniele Maras,Religious Texts,Pyrgi,300,lapse,The nameplate was affixed to an offering of some type. See inscription ETP 264.,
266,fragment of chalice (bucchero),SE 64 (2001) REE 97 (tav. L),Barbara Belelli Marchesini,Other/Unclear Texts,Veii,500,[ – – – ]i menra ak[ – – – ],"In an addendum to REE 97 (pp. 425-426), Giovanni Colonna proposes to restore the inscription as [ min]i menra ak[asce].  For details, the reader is referred to pp. 425-426.",
267,cup (ceramic),SE 64 (2001) REE 98 (tav. L),Barbara Belelli Marchesini,Religious Texts,Veii,300,lanies,,
268,wall (tufa),SE 64 (2001) REE 99 (tav. L),Massimiliano Munzi,Other/Unclear Texts,Ager Veientanus (La Cavetta),500-400,larθ eθrisna,The inscription was incised on the face of a roadway sliced through	tufaceous rock. The name may be the name of the public official	responsible for the work.,
269,kantharos (bucchero),SE 64 (2001) REE 102 (tav. LI),Giovanni Colonna,Dedications,Origin Unknown (South),625-600,mini muluvanice tetana ve.l.ka.s.na.s. veleliiasi,The inscription was incised in dextroverse direction.,
270,kantharos (bucchero),SE 64 (2001) REE 103 (tav. LI),Dominique Briquel,Proprietary Texts,Origin Unknown (South),archaic,mi venelus,,
271,fragment of cup (bucchero),SE 64 (2001) REE 100 (tav. LI),Giovanni Colonna,Proprietary Texts,Campania (Eboli),500,mi mutilates,The inscription was incised in dextroverse direction.,
272,cup (ceramic),SE 64 (2001) REE 104 (tav. LI),Dominique Briquel,Proprietary Texts,Origin Unknown (South),recent,θenus,,
273,amphora (ceramic),SE 64 (2001) REE 105 (tav. LI),Dominique Briquel,Proprietary Texts,Origin Unknown (South),archaic,mi tarnaial,,
274,cinerary urn (ceramic),SE 64 (2001) REE 108 (tav. LII),Dominique Briquel,Funerary Texts,Origin Unknown (North),200-0,laris : almni : larθ[al],The inscription was painted in red letters along the upper border of the cask. The urn is a type common at Chiusi.,
275,cinerary urn (ceramic),SE 64 (2001) REE 112 (tav. LII),Dominique Briquel,Funerary Texts,Origin Unknown (North),recent,vel · cae ·,"The inscription was painted in black letters along the upper border of	the cask. Single punctuation points are visible, but their elevated	position suggests that they were originally double points ( : ).",
276,cinerary urn (ceramic),SE 64 (2001) REE 112 (tav. LII),Dominique Briquel,Funerary Texts,Origin Unknown (North),recent,f [ . ]a[ . ]nei : tut[vacat]nali[iσa],The inscription was painted in red letters along the upper border of the	cask. The urn is a type common at Chiusi. The feminine gentilicium	could be restored as f[r]a[u]nei.,
277,cinerary urn (ceramic),SE 64 (2001) REE 113 (tav. LII),Dominique Briquel,Funerary Texts,Origin Unknown (North),recent,larθi : vi[p]inei : tutn[a]σa,The inscription was painted in red letters along the border of the cask. The urn is a type common at Chiusi.,
278,cinerary urn (terracotta),SE 64 (2001) REE 114 (tav. LII),Dominique Briquel,Funerary Texts,Origin Unknown (North),recent,θana [ – – – ],The inscription was painted in black letters along the border of the cask. The urn is a type common at Chiusi.,
279,statue (bronze),SE 64 (2001) REE 115 (tav. LIII),Koen Wylin,Dedications,Origin Unknown (North),200-100,au · ceisina · la eiser	as · θuflθas ·	turce,The final /s/ of eiseras is written with tsade,
280,cippus (nenfro),SE 64 (2001) REE 126,Massimo Morandi,Funerary Texts,Tarquinia,recent,cusinas · larθal,,
281,cippus (nenfro),SE 64 (2001) REE 127,Massimo Morandi,Funerary Texts,Tarquinia,recent,heiri · ra	mθa · a	r,,
282,cover of ziro (travertine),SE 64 (2001) 213-224 (tav. XXXVa),Enrico Benelli,Abecedaria,Ager Chiusinus (Chianciano Terme),500,a c e v z h,The abecdedarium was inscribed in sinistroverse direction.,"Benelli, Enrico. 2001. Quattro nuove iscrizioni etrusche arcaiche. SE 64.213-214."
283,small cinerary urn (stone),SE 64 (2001) 213-224 (tav. XXXVb),Enrico Benelli,Abecedaria,Ager Chiusinus (Chianciano Terme),500,a e v z h θ,,"Benelli, Enrico. 2001. Quattro nuove iscrizioni etrusche arcaiche. SE 64.213-214."
284,double vase (bucchero),SE 58 (1993) 173-176 (tav. LVI),Marina Martelli,Dedications,Volaterrae (Colle Val d'Elsa),600,mini muluvunike pisna perkena,,"Martelli, Marina. 1993. Un nuovo testo etrusco di dono. SE 58.173-176."
285,wall of tomb (stone),SE 64 (2001) 213-224 (tav. XXXVg),Enrico Benelli,Prohibitions,Ager Chiusinus,500-400,ein θui ara enan,Theta has the form of a cross X.,"Benelli, Enrico. 2001. Quattro nuove iscrizioni etrusche arcaiche. SE 64.213-214."
286,cippus (stone),Archaeologia perusina 15 (2001) 129-139 (tav. XIX),Luciano Agostiniani - Mario Torelli,Boundary Markers,Cortona,200-150,luθcval	canθiσa	l,,"Agostiniani, Luciano &amp; Mario Torelli. 2001. Un cippo confinario etrusco da Cortona. Archaeologia perusina 15.129-139."
287,cippus (stone),SE 57 (1991) REE 35 (tav. XLVI),Pietro Tamburini,Funerary Texts,Volsinii,200-100,σ : cemnil : v,"Feminine genitive singulars ending in plain -l are rare. The editor proposes two ways to emend: (1) Expunge the final -l,	in which case the onomastic phrase has zero inflection. At Volsinii	onomastic phrases in funerary texts are typically rendered in casus	zero. (2) Emend the genitive form to -(a)l and read as cemni(a)l.",
288,architrave (stone),SE 57 (1991) REE 36,Alessandro Naso,Funerary Texts,Tuscania,archaic,s [ . . ]vus,,
289,fragment of plate (ceramic),SE 57 (1991) REE 45 (tav. L),Mauro Cristofani,Proprietary Texts,Caere,700-650,mi hvlaves : spati,Both sigmas were written with five strokes.,
290,fragment of chalice (ceramic),SE 57 (1991) REE 46 (tav. L),Mauro Cristofani,Proprietary Texts,Caere,650,[mi r]amuθas,Sigma was written with four bars.,
291,plate (ceramic),SE 57 (1991) REE 49,Mauro Cristofani,Proprietary Texts,Campania (Fratte di Salerno),500,pe,The letters pe were incised beneath the last two letters of inscription (a).,
292,Attic kylix (ceramic),SE 57 (1991) REE 51,Marina Martelli,Proprietary Texts,Unknown (South),480,mi klutias,,
293,Attic amphora (ceramic),SE 57 (1991) REE 52,Marina Martelli,Other/Unclear Texts,Unknown (South),480-470,χeχe[n]ar,,
294,thymiaterion (bronze),SE 57 (1991) REE 53 (tav. LI),Marina Martelli,Funerary Texts,Unknown (South),400-380,σuθina,Inscription (a) was incised vertically along the trunk; (b) was incised	within the incense holder. Both were written in sinistroverse	direction.,
295,cup (ceramic),SE 60 (1995) REE 1 (tav. XXXV),Stefano Bruni,Proprietary Texts,Pisae,550-525,mi aranθial,,
296,fragment of cup (bucchero),SE 60 (1995) REE 2 (tav. XXXV),Stefano Bruni,Other/Unclear Texts,Pisae,625-550,[ – – – ]xeai,,
297,fragment of cup (bucchero),SE 60 (1995) REE 3 (tav. XXXV),Stefano Bruni,Proprietary Texts,Pisae,550,uri,,
298,cover of urn (alabaster),SE 60 (1995) REE 9 (tav. XXXVI),Maurizio Sannibale,Funerary Texts,Volaterrae,150-100,x[  – – – ]xxxxx(x)nal,,
299,cinerary urn (terracotta),SE 60 (1995) REE 11 (tav. XXXVI),Maurizio Sannibale,Funerary Texts,Ager Chiusinus,200-150,la,,
300,cinerary urn (terracotta),SE 60 (1995) REE 12 (tav. XXXVII),Maurizio Sannibale,Funerary Texts,Ager Chiusinus,200-150,la[ – – –]xza[ – – – ],,
301,cinerary urn (terracotta),SE 60 (1995) REE 13 (tav. XXXVII),Maurizio Sannibale,Funerary Texts,Ager Chiusinus,150-100,xx [vacat] a[ – – –] ax : pet[vacat]runial,,
302,fragment of vase (ceramic),SE 60 (1995) REE 18 (tav. XXXIX),Maristella Pandolfini,Proprietary Texts,Tarquinia,300-200,[ – – – ]x cluetieṣ [ – – – ],,
303,fibula (gold),SE 60 (1995) REE 19 (tav. XL-XLI-XLIII),Francesco Buranelli,Dedications,Unknown (South),630,mi mulu araθiale θanaχvilus prasanaia,,
304,strigile (bronze),SE 60 (1995) REE 20 (tav. XXXIX),Helmut Rix,Artisans' Texts,Unknown,350-250,men tite,The text was stamped on the handle of the strigile. The letters run in dextroverse direction.,
305,fragment of bowl (ceramic),SE 60 (1995) REE 21 (tav. XXXIX),Helmut Rix,Proprietary Texts,Unknown,recent,[ – – – ]iana ram[θa – – – ],,
306,copy (manuscript),SE 60 (1995) REE 22 (tav. XXXIX),Adriano Maggiani,Funerary Texts,Unknown (North),400-300,mi fastial vestrknal,,
307,tegola (terracotta),SE 60 (1995) REE 32 (tav. XLVI),Maurizio Sannibale,Other/Unclear Texts,Ager Chiusinus,200-150,rau ur : ve,Punctuation is in the form of two small xs.,
308,fragment of plate (ceramic),SE 60 (1995) 38,Adriano Maggiani,Proprietary Texts,Chiusi,recent,la cae,The text was stamped on the ceramic.,
309,fragment of olla (ceramic),SE 60 (1995) 41,Adriano Maggiani,Proprietary Texts,Populonia,archaic,leθx[ – – – ],Theta has the form of a cross X.,
310,Attic oinochoe (ceramic),SE 60 (1995) 46,Marina Martelli,Proprietary Texts,Volcii,520,lai,,
311,bowl (ceramic),SE 60 (1995) 49 (tav. LII),Mauro Cristofani,Proprietary Texts,Campania (Pontecagnano),300,truχiles,,
312,cinerary urn (terracotta),SE 60 (1995) 60,Adriano Maggiani,Funerary Texts,Unknown,150,vl · utani · aninal · vl ·,,
313,cinerary urn (terracotta),SE 60 (1995) 61,Adriano Maggiani,Funerary Texts,Unknown,100-0,arnθ · vipina · cuφre,,
314,vase (terracotta),SE 60 (1995) 62,Adriano Maggiani,Proprietary Texts,Unknown,recent,tania,,
315,tegola (terracotta),SE 60 (1995) 74,Adriano Maggiani,Funerary Texts,Unknown,recent,larnei,,
316,cover of cinerary urn (stone),SE 60 (1995) 77,Adriano Maggiani,Funerary Texts,Unknown,recent,θana larn	ei cestinal	a,,
317,fragment of bowl (impasto),SE 58 (1993) REE 3 (tav. LXIII),Giuseppe Sassatelli,Abecedaria,Aemilia (Marzabotto),550-500,a e v,,
318,bowl (impasto),SE 58 (1993) REE 4,Giuseppe Sassatelli,Abecedaria,Aemilia (Marzabotto),550-500,[ – – – ] x a e v z [ – – – ],"Of the initial letter, the editor sees only a very short oblique stroke.",
319,fragment of dolium (ceramic),SE 58 (1993) REE 5 (tav. LXIII),Giuseppe Sassatelli,Proprietary Texts,Aemilia (Marzabotto),archaic,[ – – – ]xiai,,
320,small cup (ceramic),SE 58 (1993) REE 2 (tav. LXIII),Giuseppe Sassatelli,Abecedaria,Aemilia (Marzabotto),500-450,a e [ – – – ],,
321,fragment of bowl (ceramic),SE 58 (1993) REE 6 (tav. LXIII),Giuseppe Sassatelli,Proprietary Texts,Aemilia (Marzabotto),600-500,[ – – – ]z sakiu [– – – ],The inscription was incised in dextroverse direction.,
322,fragment of basin (ceramic),SE 58 (1993) REE 7 (tav. LXIII),Giuseppe Sassatelli,Proprietary Texts,Aemilia (Marzabotto),500-400,[ – – – ]vetalus[– – – ],The inscription was incised in dextroverse direction.,
323,handle of amphora (impasto),SE 58 (1993) REE 8 (tav. LXIII),Giuseppe Sassatelli,Proprietary Texts,Aemilia (Marzabotto),520-500,θina rakalus,The inscription was incised in dextroverse direction. Theta has the form of a cross X.,
324,plate (impasto),SE 58 (1993) REE 20 (tav. LXV),Marina Martelli,Proprietary Texts,Caere,650-550,σii,,
325,fragment of vase (bucchero),SE 58 (1993) REE 21 (tav. LXV),Laura Ricciardi,Proprietary Texts,Blera,600-400,mi ramaθas treseles,,
326,drinking cup (bucchero),SE 58 (1993) REE 22 (tav. LXV),Laura Ricciardi,Proprietary Texts,Ager Caeretanus (Tolfa),630,avi,The inscription was incised in dextroverse direction.,
327,amphora (ceramic),SE 58 (1993) REE 26,Marina Martelli,Proprietary Texts,Volcii,recent,caial,,
328,cippus (tufa),SE 58 (1993) REE 29,Pietro Tamburini,Funerary Texts,Ager Volsiniensis (Sermugnano),300-100,ram[θa – – – ]xi,,
329,thymiaterion (bronze),SE 58 (1993) REE 32,Mauro Cristofani,Religious Texts,Unknown  (South),400,mi · selvansl · canlas,,
330,mirror (bronze),SE 58 (1993) REE 33,Mauro Cristofani,Didaskalia,Unknown  (South),400-300,peleas turis nele,,
331,small plate (ceramic),SE 58 (1993) REE 1 (tav. LXIII),Maristella Pandolfini,Proprietary Texts,Venetia (Spina),350,mi venus platunalus,,
332,statue (bronze),SE 55 (1989) REE 128,Carlo de Simone,Dedications,Volsinii (Bolsena),300,ecn : turce : avle : havrnas : tuθina : apana	selvansl tularias,,
333,stele (stone [travertine]),Nuovi etnici e toponimi etruschi (1999) 51-61 (tav. I-II),Adriano Maggiani,Funerary Texts,Saturnia,525-500,larθ laucies θamequ	larecesi ka	iseriθesi celeniarasi	mini zinece veθur kam	arteθi,,"Maggiani, Adriano. 1999. Nuovi etnici e toponimi etruschi. Incontro di studi in memoria di Masssimo Pallottino, 51-61. Pisa e Roma: Istituto editoriali e poligrafici internazionali."
334,cinerary urn (terracotta),SE 60 (1995) REE 14 (tav. XXXVII),Helmut Rix,Funerary Texts,Ager Chiusinus,100-0,hasti : velθuria : lautni	θa,,
335,mirror (bronze),An Etruscan Mirror in Tokyo (2000) 69-77,Nancy DeGrummond,Proprietary Texts,Unknown (South),475-450,mi malana larθiia cavis spuriies,,"DeGrummond, Nancy. 2000. An Etruscan Mirror in Tokyo. In M. D. Gentili (ed.), Aspetti	e problemi della produzione degli specchi etruschi figurati. Attio	dell'incontro internazionale di studio (Roma, 2-4 maggio 1997), 69-77.	Roma: Aracne."
336,statue base (tufa),SE 70 (2005) REE 55,Giovanni Colonna,Dedications,Caere,300,ecn : turce	m : haθles	vle,,"Nardi, Giuliana. 2001. Prospettiva 103/104.8 (fig. 19)."
337,facade of tomb,SE 70 (2005) REE 10 (tav. XLIX),Adriano Maggiani,Funerary Texts,Ager Volcentanus (Suana),200-150,eca σuθ[i - - - ]	zatneal,Half of the letter theta in σuθ[i] survives. It has the shape of a circle. The oblique bar of the lambda of zatneal is no longer visible.,
338,kylix (ceramic),SE 70 (2005) REE 27 (tav. LI),Carmine Pellegrino,Proprietary Texts,Campania (Pontecagnano),500,mi larzas atrnas,The inscription was incised on the inside of the basin of the kylix.,"Colonna, Giovanni. 2005. SE 70, REE 27.303."
339,greaves (bronze),L’offerta di armi a Minerva e un probabile cimelio della spedizione di Aristodemo nel Lazio (1999) 95-103.,Giovanni Colonna,Dedications,Perusia,500-450,arnθ savpunias turce menrvas,,"Bonfante, Giuliano and Larissa Bonfante. 2002 [Revised Edition]. The Etruscan Language. An Introduction, pp. 144-145, no. 22. Manchester: Manchester University Press.	Colonna, Giovanni. 1999. L’offerta di armi a Minerva e un probabile cimelio della spedizione di Aristodemo nel Lazio. In Pallade di Velletri. Il mito, la fortuna. 1797–1997 bicentenario del ritrovamento. Atti, 95-103. Roma."
340,club (bronze),Scienze dell’Antichità (1989-1990) 3-4.894-898 (fig. 14),Giovanni Colonna,Dedications,Unknown,250-200,cn · turce	tite · uta	ves · v · l ·	hercles	alpan ·,,"Colonna, Giovanni. 1989-1990. Le iscrizioni votive etrusche. Scienze dell’Antichità 3-4.875-903."
341,kylix (ceramic),SE 70 (2005) REE 24 (tav. LI),Carmine Pellegrino,Proprietary Texts,Unknown,,mi cailes cutus,,"Colonna, Giovanni. 2005. SE 70, REE 24.299."
342,fragment of cup (bucchero),SE 70 (2005) REE 30 (tav. LII),Carmine Pellegrino,Other/Unclear Texts,Campania (Pontecagnano),525-475,θun vertun cẹ[ - - - - - - - - - - ]aχuis,,
343,disk (bronze),ENews (2006) 5.5,Dominique Briquel,Tesserae Hospitales,Algeria (Gouraya),200-100,pumpun	larθal,"The letters in this text are in dextroverse direction.		Bibliography:		Briquel, Dominique. 2006. A neglected Etruscan inscription. Etruscan News 5.5.",
344,chalice (impasto),"SE 66 (1991) REE 73, 350-356 (tav. LXIV)",Dominique Briquel,Proprietary Texts,Caere,700-675,mi laucies mezeṇṭies,"Bibliography:		Bagnasco Gianni, Giovanna. 1996. Oggetti iscritti di epoca orientalizzante in Etruria, pg. 108, no. 84. Firenze: Leo S. Olschki.	Briquel, Dominique. 1989. A propos d’une inscription redécouverte au Louvre: remarques sur la tradition relative a Mézence. REL 67.78-92.	Gualtier, F. and Dominique Briquel. 1989. Réexamen d’une inscription	des collections du Musée du Louvre: un Mézence à Caeré au VIIe siècle	av.J-C. CRAI janvier-mars, 99-115.	Gualtier, Françoise, J. Gran-Aymerich, and Dominique Briquel. 1991. SE 66, REE 73, 350-356.",
345,small vase (impasto),"Collezione C. A. (1991) pp. 22-25, no. 22 (tav. XII)",Giovannangelo Camporeale,Proprietary Texts,Unknown (South),700-650,mi luθumas qutumuθa,"Sigma was written with 4 bars.		Bibliography:		Bagnasco Gianni, Giovanna. 1996. Oggetti iscritti di epoca orientalizzante in Etruria, no. 310, pp. 313-314. Firenze: Leo S. Olschki.	Camporeale, Giovannangelo. 1991. La Collezione C. A. Impasti e buccheri I. Roma.",
346,aryballos (bucchero),"Collezione C. A. (1991) pp. 142-144, no. 145 (tav. CIX)",Giovannangelo Camporeale,Proprietary Texts,Unknown (South),700-650,mi xuiḥṿlies qutum,"Bibliography:		Bagnasco Gianni, Giovanna. 1996. Oggetti iscritti di epoca orientalizzante in Etruria, no. 312, pp. 314. Firenze: Leo S. Olschki.	Camporeale, Giovannangelo. 1991. La Collezione C. A. Impasti e buccheri I. Roma.",
347,bowl (impasto),SE 70 (2005) REE 1 (tav. XLVII),Monica Salvini,Proprietary Texts,Ager Faesulanus (Florentia),650-575,upu,,
348,fragment of foot of cup (impasto),SE 70 (2005) REE 7 (tav. XLVIII),Marisa Bonamici,Proprietary Texts,Populonia,450-400,title,,
349,fragment of skyphos (ceramic),SE 70 (2005) REE 8,Marisa Bonamici,Other/Unclear Texts,Populonia,300,sesa,The sequence ve and the letter s (sade) were also incised on the foot of the skyphos.,
350,fragment of olla (impasto),SE 70 (2005) REE 9 (tav. XLVIII),Marisa Bonamici,Other/Unclear Texts,Populonia,Neo-Etruscan,[ – – – ]s u[ – – – ],,
